productname,2014,2015,2016,2017,Total in Months
Logitech G602 Wireless Gaming Mouse,4,12,8,5,29
"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",4,11,5,5,25
Wilson Jones Active Use Binders,4,6,6,5,21
Belkin F8E887 USB Wired Ergonomic Keyboard,4,5,7,5,21
Acme Titanium Bonded Scissors,4,4,0,5,13
Swingline SM12-08 MicroCut Jam Free Shredder,4,4,0,5,13
Avery Binding System Hidden Tab Executive Style Index Sets,4,3,14,5,26
Newell 348,4,3,12,5,24
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",4,1,7,5,17
BPI Conference Tables,4,0,17,5,26
"Executive Impressions 12 Wall Clock""",4,0,5,5,14
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",4,0,0,5,9
Xerox 21,3,16,0,5,24
Xerox 1978,3,13,13,5,34
JBL Micro Wireless Portable Bluetooth Speaker,3,6,3,5,17
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",3,5,11,5,24
GBC Poly Designer Binding Covers,3,4,6,5,18
Regeneration Desk Collection,3,3,10,5,21
Newell 331,3,3,6,5,17
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",3,3,4,5,15
"DAX Cubicle Frames, 8-1/2 x 11",3,2,7,5,17
DAX Clear Channel Poster Frame,3,2,0,5,10
Hon Deluxe Fabric Upholstered Stacking Chairs,3,0,7,5,15
"1.7 Cubic Foot Compact Cube"" Office Refrigerators""",3,0,6,5,14
Insertable Tab Indexes For Data Binders,3,0,5,5,13
Cisco SPA112 2 Port Phone Adapter,3,0,3,5,11
Quality Park Security Envelopes,3,0,3,5,11
Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,3,0,0,5,8
"Howard Miller 13 Diameter Pewter Finish Round Wall Clock""",2,15,5,5,27
Xerox 1963,2,10,0,5,17
Office Star Flex Back Scooter Chair with White Frame,2,3,11,5,21
"Metal Folding Chairs, Beige, 4/Carton",2,2,14,5,23
"Ampad Evidence Wirebond Steno Books, 6 x 9""""",2,2,5,5,14
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",2,1,6,5,14
"Leather Task Chair, Black",2,0,12,5,19
Safco Steel Mobile File Cart,2,0,2,5,9
Acme Kleencut Forged Steel Scissors,2,0,0,5,7
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),2,0,0,5,7
Logitech M510 Wireless Mouse,2,0,0,5,7
Safco Industrial Wire Shelving,1,7,3,5,16
Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),1,6,20,5,32
Computer Printout Index Tabs,1,0,9,5,15
Luxo Professional Magnifying Clamp-On Fluorescent Lamps,1,0,7,5,13
Logitech K350 2.4Ghz Wireless Keyboard,0,20,0,5,25
GBC Ibimaster 500 Manual ProClick Binding System,0,17,26,5,48
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",0,13,0,5,18
"Executive Impressions 14 Two-Color Numerals Wall Clock""",0,11,0,5,16
Bagged Rubber Bands,0,10,6,5,21
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",0,10,0,5,15
XtraLife ClearVue Slant-D Ring Binders by Cardinal,0,9,8,5,22
"Black Avery Memo-Size 3-Ring Binder, 5 1/2 x 8 1/2""""",0,9,2,5,16
"Howard Miller 12 Round Wall Clock""",0,9,0,5,14
Avery 491,0,7,0,5,12
Coloredge Poster Frame,0,5,11,5,21
Xerox 1959,0,5,11,5,21
"Speediset Carbonless Redi-Letter 7 x 8 1/2""""",0,5,9,5,19
Xerox 1910,0,5,4,5,14
"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",0,5,2,5,12
"Belkin 325VA UPS Surge Protector, 6'",0,4,4,5,13
O'Sullivan Plantations 2-Door Library in Landvery Oak,0,3,14,5,22
Xerox 1914,0,3,11,5,19
Logitech Z-906 Speaker sys - home theater - 5.1-CH,0,3,9,5,17
"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",0,3,4,5,12
Colorific Watercolor Pencils,0,3,3,5,11
Alliance Rubber Bands,0,3,0,5,8
Hewlett Packard 310 Color Digital Copier,0,2,9,5,16
Xerox 228,0,2,8,5,15
Holmes HEPA Air Purifier,0,2,7,5,14
Nortel Meridian M5316 Digital phone,0,1,7,5,13
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",0,1,6,5,12
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",0,0,28,5,33
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",0,0,15,5,20
Translucent Push Pins by OIC,0,0,10,5,15
HP Office Paper (20Lb. and 87 Bright),0,0,9,5,14
Super Decoflex Portable Personal File,0,0,8,5,13
Avaya 5420 Digital phone,0,0,7,5,12
Bush Somerset Collection Bookcase,0,0,7,5,12
"Ultra Door Kickplate, 8H x 34""W""",0,0,5,5,10
Logitech Wireless Headset H600 Over-The-Head Design,0,0,5,5,10
Acco Perma 2700 Stacking Storage Drawers,0,0,3,5,8
Motorola Moto X,0,0,1,5,6
SAFCO Folding Chair Trolley,0,0,1,5,6
Acco Glide Clips,0,0,0,5,5
Cisco Desktop Collaboration Experience DX650 IP Video Phone,0,0,0,5,5
"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",0,0,0,5,5
Hewlett-Packard Desktjet 6988DT Refurbished Printer,0,0,0,5,5
Unpadded Memo Slips,0,0,0,5,5
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",22,5,0,4,31
Avery 492,16,0,0,4,20
Recycled Steel Personal File for Standard File Folders,16,0,0,4,20
Polycom SoundPoint Pro SE-225 Corded phone,14,0,1,4,19
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,13,5,6,4,28
Bevis 44 x 96 Conference Tables,13,0,3,4,20
Westinghouse Clip-On Gooseneck Lamps,12,9,13,4,38
"SAFCO Commercial Wire Shelving, Black",11,8,12,4,35
Xerox 1941,11,4,0,4,19
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",11,1,8,4,24
Fellowes Super Stor/Drawer Files,10,13,0,4,27
Economy Rollaway Files,10,6,0,4,20
Cisco 8x8 Inc. 6753i IP Business Phone System,10,3,9,4,26
Honeywell Quietcare HEPA Air Cleaner,10,0,9,4,23
Xerox 2000,10,0,0,4,14
Rogers Profile Extra Capacity Storage Tub,9,5,14,4,32
Panasonic Kx-TS550,9,1,9,4,23
Global Leather Executive Chair,9,0,8,4,21
Acme Office Executive Series Stainless Steel Trimmers,9,0,8,4,21
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,9,0,0,4,13
netTALK DUO VoIP Telephone Service,8,5,9,4,26
BlackBerry Q10,8,4,11,4,27
Airmail Envelopes,8,2,5,4,19
Fellowes Mighty 8 Compact Surge Protector,8,0,7,4,19
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7,15,3,4,29
Recycled Eldon Regeneration Jumbo File,7,9,0,4,20
Innergie mMini Combo Duo USB Travel Charging Kit,7,8,0,4,19
"Lesro Round Back Collection Coffee Table, End Table",7,5,4,4,20
Deluxe Chalkboard Eraser Cleaner,7,4,2,4,17
GBC Standard Plastic Binding Systems Combs,7,0,2,4,13
Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,7,0,0,4,11
Poly String Tie Envelopes,6,15,10,4,35
Belkin 6 Outlet Metallic Surge Strip,6,15,4,4,29
"Global Deluxe Stacking Chair, Gray",6,6,3,4,19
"Wirebound Message Books, Two 4 1/4 x 5"" Forms per Page""",6,4,1,4,15
Laser & Ink Jet Business Envelopes,6,3,7,4,20
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,6,1,3,4,14
Mitel 5320 IP Phone VoIP phone,6,0,4,4,14
KeyTronic 6101 Series - Keyboard - Black,6,0,0,4,10
Xerox 192,5,4,9,4,22
Safco Commercial Shelving,5,0,2,4,11
Xerox 205,4,16,0,4,24
"Personal Filing Tote with Lid, Black/Gray",4,11,12,4,31
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,4,8,6,4,22
Office Star - Ergonomically Designed Knee Chair,4,7,4,4,19
Xerox 1948,4,7,0,4,15
"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",4,5,5,4,18
ClearOne CHATAttach 160 - speaker phone,4,3,2,4,13
Newell 332,4,0,16,4,24
Advantus Panel Wall Acrylic Frame,4,0,12,4,20
Xerox 1882,4,0,4,4,12
Xerox 1972,4,0,2,4,10
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",3,23,0,4,30
"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4 X 5""""",3,12,0,4,19
Square Credit Card Reader,3,8,7,4,22
UniKeep View Case Binders,3,6,0,4,13
Cisco SPA508G,3,4,4,4,15
"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",3,4,4,4,15
ARKON Windshield Dashboard Air Vent Car Mount Holder,3,4,3,4,14
"DAX Metal Frame, Desktop, Stepped-Edge",3,4,0,4,11
"Rogers Jumbo File, Granite",3,3,14,4,24
Eldon Image Series Black Desk Accessories,3,2,3,4,12
"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",3,2,3,4,12
Acco Expandable Hanging Binders,3,2,2,4,11
Plastic Binding Combs,3,0,16,4,23
Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,3,0,7,4,14
Economy #2 Pencils,3,0,6,4,13
"Bevis Traditional Conference Table Top, Plinth Base",3,0,2,4,9
Newell 333,2,18,9,4,33
Assorted Color Push Pins,2,13,2,4,21
Bevis Rectangular Conference Tables,2,5,2,4,13
Xerox 1899,2,4,4,4,14
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",2,3,10,4,19
Maxell CD-R Discs,2,3,0,4,9
Flexible Leather- Look Classic Collection Ring Binder,1,5,3,4,13
"Global Leather & Oak Executive Chair, Burgundy",1,3,5,4,13
"Westinghouse Floor Lamp with Metal Mesh Shade, Black",1,2,0,4,7
Kingston Digital DataTraveler 8GB USB 2.0,1,0,4,4,9
Cisco SPA301,0,19,7,4,30
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,0,14,1,4,19
"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",0,12,8,4,24
Plantronics MX500i Earset,0,11,0,4,15
"Eldon Stackable Tray, Side-Load, Legal, Smoke",0,10,3,4,17
"#10-4 1/8 x 9 1/2"" Premium Diagonal Seam Envelopes""",0,9,0,4,13
Magna Visual Magnetic Picture Hangers,0,7,8,4,19
Contemporary Wood/Metal Frame,0,6,8,4,18
Sauder Barrister Bookcases,0,6,6,4,16
Avery 503,0,6,5,4,15
LG G3,0,6,0,4,10
Cisco SPA 502G IP Phone,0,5,12,4,21
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",0,5,11,4,20
Anker 24W Portable Micro USB Car Charger,0,4,0,4,8
Hand-Finished Solid Wood Document Frame,0,4,0,4,8
Jabra BIZ 2300 Duo QD Duo Corded Headset,0,3,10,4,17
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",0,3,5,4,12
Artistic Insta-Plaque,0,3,3,4,10
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49""""",0,3,3,4,10
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,0,3,1,4,8
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",0,3,0,4,7
Xerox 207,0,3,0,4,7
Xerox 196,0,2,12,4,18
Bush Mission Pointe Library,0,2,0,4,6
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",0,1,0,4,5
Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,0,0,14,4,18
Eldon 500 Class Desk Accessories,0,0,13,4,17
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,0,0,13,4,17
DAX Solid Wood Frames,0,0,9,4,13
"TOPS Voice Message Log Book, Flash Format",0,0,8,4,12
"3D Systems Cube Printer, 2nd Generation, Magenta",0,0,7,4,11
Standard Line “While You Were Out” Hardbound Telephone Message Book,0,0,7,4,11
Clearsounds A400,0,0,7,4,11
Global Deluxe High-Back Office Chair in Storm,0,0,6,4,10
Storex Flexible Poly Binders with Double Pockets,0,0,5,4,9
Nortel Business Series Terminal T7208 Digital phone,0,0,5,4,9
Eldon Executive Woodline II Cherry Finish Desk Accessories,0,0,2,4,6
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,0,0,2,4,6
"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",0,0,2,4,6
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,0,0,0,4,4
Cubify CubeX 3D Printer Triple Head Print,0,0,0,4,4
Xerox 1901,0,0,0,4,4
Computer Printout Paper with Letter-Trim Fine Perforations,0,0,0,4,4
"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",0,0,0,4,4
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,17,9,0,3,29
Acme Box Cutter Scissors,17,5,6,3,31
Xerox 1995,16,2,1,3,22
Avery 513,16,2,1,3,22
DAX Black Cherry Wood-Tone Poster Frame,15,6,0,3,24
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,14,3,9,3,29
RCA Visys Integrated PBX 8-Line Router,14,2,0,3,19
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",14,0,12,3,29
Jabra SPEAK 410,13,10,11,3,37
Newell 322,13,0,2,3,18
Novimex Swivel Fabric Task Chair,11,4,7,3,25
Fellowes 8 Outlet Superior Workstation Surge Protector,11,4,2,3,20
Maxell 4.7GB DVD-R 5/Pack,10,8,0,3,21
Avery Hidden Tab Dividers for Binding Systems,9,4,8,3,24
Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,9,4,4,3,20
White Computer Printout Paper by Universal,9,3,22,3,37
DIXON Ticonderoga Erasable Checking Pencils,9,2,6,3,20
AT&T CL82213,8,6,0,3,17
Staple magnet,8,5,17,3,33
Avery 494,8,5,7,3,23
Xerox 1967,8,4,0,3,15
Acme Stainless Steel Office Snips,8,0,2,3,13
Apple iPhone 5S,8,0,0,3,11
24-Hour Round Wall Clock,7,10,7,3,27
Revere Boxed Rubber Bands by Revere,7,7,12,3,29
Avery 489,7,6,0,3,16
Sabrent 4-Port USB 2.0 Hub,7,4,1,3,15
Xerox 1923,7,3,3,3,16
Xerox 1960,6,17,6,3,32
GBC Personal VeloBind Strips,6,6,12,3,27
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",6,2,6,3,17
Avery 509,6,1,3,3,13
Bevis Steel Folding Chairs,6,0,15,3,24
Aluminum Document Frame,6,0,13,3,22
Xerox 1987,6,0,7,3,16
Fellowes Desktop Hanging File Manager,5,5,2,3,15
Hewlett Packard 610 Color Digital Copier / Printer,5,4,9,3,21
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,5,4,7,3,19
Fellowes Advanced Computer Series Surge Protectors,5,4,3,3,15
Avery 490,5,4,1,3,13
Balt Split Level Computer Training Table,5,4,0,3,12
Xerox 1925,5,0,10,3,18
WD My Passport Ultra 1TB Portable External Hard Drive,5,0,9,3,17
"Master Giant Foot Doorstop, Safety Yellow",5,0,4,3,12
GE 30522EE2,5,0,2,3,10
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",5,0,0,3,8
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4,18,10,3,35
"Hon Metal Bookcases, Black",4,18,5,3,30
Xerox 1903,4,17,0,3,24
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4,12,7,3,26
Newell 319,4,10,11,3,28
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2 X 11""""",4,8,8,3,23
Xerox 1900,4,7,12,3,26
"Wilson Jones Hanging View Binder, White, 1""",4,7,9,3,23
HTC One,4,7,0,3,14
Xerox 1981,4,7,0,3,14
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",4,0,7,3,14
Tenex Chairmats For Use With Carpeted Floors,4,0,4,3,11
Mediabridge Sport Armband iPhone 5s,3,10,14,3,30
Sharp AL-1530CS Digital Copier,3,7,4,3,17
"Avery Durable Plastic 1 Binders""",3,5,23,3,34
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3,5,6,3,17
Bevis Boat-Shaped Conference Table,3,3,6,3,15
Fellowes Neat Ideas Storage Cubes,3,2,8,3,16
Panasonic KP-4ABK Battery-Operated Pencil Sharpener,3,0,10,3,16
File Shuttle I and Handi-File,3,0,7,3,13
VariCap6 Expandable Binder,3,0,4,3,10
Hoover WindTunnel Plus Canister Vacuum,3,0,3,3,9
12 Colored Short Pencils,3,0,2,3,8
Contemporary Borderless Frame,3,0,0,3,6
Document Clip Frames,3,0,0,3,6
Boston KS Multi-Size Manual Pencil Sharpener,2,9,11,3,25
Bose SoundLink Bluetooth Speaker,2,7,6,3,18
Memorex Micro Travel Drive 4 GB,2,6,0,3,11
HP Standard 104 key PS/2 Keyboard,2,5,10,3,20
Xerox 200,2,5,5,3,15
Panasonic KX T7736-B Digital phone,2,5,0,3,10
Electrix Halogen Magnifier Lamp,2,4,8,3,17
"Howard Miller 11-1/2 Diameter Grantwood Wall Clock""",2,3,6,3,14
Akro-Mils 12-Gallon Tote,2,3,5,3,13
"Sauder Facets Collection Library, Sky Alder Finish",2,3,2,3,10
Eldon Cleatmat Chair Mats for Medium Pile Carpets,2,3,0,3,8
Trimflex Flexible Post Binders,2,0,16,3,21
Blackstonian Pencils,2,0,14,3,19
Premier Automatic Letter Opener,2,0,9,3,14
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2,0,5,3,10
Samsung Rugby III,1,17,3,3,24
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,1,3,6,3,13
Faber Castell Col-Erase Pencils,1,3,1,3,8
Tops Green Bar Computer Printout Paper,1,0,3,3,7
Wirebound Voice Message Log Book,1,0,0,3,4
Avery 482,1,0,0,3,4
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,0,21,2,3,26
"Eldon Imàge Series Desk Accessories, Clear",0,14,0,3,17
"Deflect-o EconoMat Nonstudded, No Bevel Mat",0,9,2,3,14
Fellowes Recycled Storage Drawers,0,9,0,3,12
Logitech G35 7.1-Channel Surround Sound Headset,0,8,6,3,17
"Sauder Forest Hills Library, Woodland Oak Finish",0,8,4,3,15
AmazonBasics 3-Button USB Wired Mouse,0,8,3,3,14
Dixon Ticonderoga Pencils,0,8,2,3,13
Global Comet Stacking Arm Chair,0,7,7,3,17
Rubber Band Ball,0,7,6,3,16
"Iceberg OfficeWorks 42 Round Tables""",0,6,21,3,30
Xerox 208,0,6,0,3,9
Wausau Papers Astrobrights Colored Envelopes,0,6,0,3,9
Xerox 1886,0,5,6,3,14
Boston 1730 StandUp Electric Pencil Sharpener,0,5,0,3,8
"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",0,4,0,3,7
Avery 510,0,4,0,3,7
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,0,3,7,3,13
Disposable Triple-Filter Dust Bags,0,3,4,3,10
"Verbatim Slim CD and DVD Storage Cases, 50/Pack",0,3,2,3,8
"Sanford Colorific Colored Pencils, 12/Box",0,2,21,3,26
Avery 50,0,2,15,3,20
JM Magazine Binder,0,2,13,3,18
Xerox 206,0,2,6,3,11
"#10 Gummed Flap White Envelopes, 100/Box",0,2,6,3,11
i.Sound Portable Power - 8000 mAh,0,2,4,3,9
"Brites Rubber Bands, 1 1/2 oz. Box",0,2,2,3,7
Xerox 1890,0,2,0,3,5
Newell 346,0,1,7,3,11
KeyTronic KT800P2 - Keyboard - Black,0,1,2,3,6
Rush Hierlooms Collection Rich Wood Bookcases,0,1,0,3,4
"Bush Cubix Collection Bookcases, Fully Assembled",0,1,0,3,4
Anker Astro 15000mAh USB Portable Charger,0,0,10,3,13
Avaya 5410 Digital phone,0,0,10,3,13
Xerox 1911,0,0,10,3,13
GBC ProClick Spines for 32-Hole Punch,0,0,9,3,12
Electrix Fluorescent Magnifier Lamps & Weighted Base,0,0,8,3,11
AT&T CL83451 4-Handset Telephone,0,0,7,3,10
Hon Every-Day Chair Series Swivel Task Chairs,0,0,7,3,10
Newell 338,0,0,5,3,8
"Dixon Ticonderoga Maple Cedar Pencil, #2",0,0,5,3,8
Xerox 215,0,0,4,3,7
Hewlett-Packard Deskjet 5550 Printer,0,0,0,3,3
Sony 8GB Class 10 Micro SDHC R40 Memory Card,0,0,0,3,3
Panasonic Business Telephones KX-T7736,0,0,0,3,3
"Fellowes Smart Surge Ten-Outlet Protector, Platinum",0,0,0,3,3
I.R.I.S IRISCard Anywhere 5 Card Scanner,0,0,0,3,3
Color-Coded Legal Exhibit Labels,0,0,0,3,3
Socket Bluetooth Cordless Hand Scanner (CHS),0,0,0,3,3
"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",0,0,0,3,3
Decoflex Hanging Personal Folder File,0,0,0,3,3
Wasp CCD Handheld Bar Code Reader,0,0,0,3,3
Advantus Rolling Drawer Organizers,20,3,6,2,31
Hon Olson Stacker Stools,19,10,13,2,44
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",16,9,7,2,34
Xerox 1952,13,3,2,2,20
Acco Side-Punched Conventional Columnar Pads,13,0,0,2,15
Belkin F9G930V10-GRY 9 Outlet Surge,12,2,0,2,16
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",11,12,14,2,39
Ultra Door Push Plate,11,7,14,2,34
Stacking Trays by OIC,11,0,6,2,19
Ooma Telo VoIP Home Phone System,11,0,5,2,18
OIC Thumb-Tacks,11,0,0,2,13
Acco 6 Outlet Guardian Standard Surge Suppressor,10,3,0,2,15
Riverleaf Stik-Withit Designer Note Cubes,10,0,3,2,15
Newell 317,9,18,3,2,32
"Eldon Regeneration Recycled Desk Accessories, Smoke",9,6,4,2,21
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,9,2,0,2,13
Ames Color-File Green Diamond Border X-ray Mailers,9,0,7,2,18
Acme Value Line Scissors,8,4,8,2,22
"Contico 72H Heavy-Duty Storage System""",8,2,4,2,16
Acme Kleen Earth Office Shears,8,0,2,2,12
Newell 341,7,4,10,2,23
Logitech Wireless Anywhere Mouse MX for PC and Mac,7,2,0,2,11
Self-Adhesive Ring Binder Labels,7,2,0,2,11
Newell 324,6,12,3,2,23
Avery Durable Slant Ring Binders With Label Holder,6,5,23,2,36
Dana Swing-Arm Lamps,6,5,2,2,15
Acco Perma 4000 Stacking Storage Drawers,6,4,19,2,31
Eureka Sanitaire  Commercial Upright,6,0,4,2,12
AT&T CL2909,6,0,0,2,8
Hoover Commercial Lightweight Upright Vacuum,6,0,0,2,8
Office Star - Task Chair with Contemporary Loop Arms,6,0,0,2,8
AT&T 17929 Lendline Telephone,5,13,15,2,35
Brother DCP1000 Digital 3 in 1 Multifunction Machine,5,10,2,2,19
2300 Heavy-Duty Transfer File Systems by Perma,5,9,0,2,16
Logitech Mobile Speakerphone P710e - speaker phone,5,6,4,2,17
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",5,6,0,2,13
Xerox 1912,5,2,2,2,11
Konftel 250 Conference phone - Charcoal black,5,2,0,2,9
OtterBox Commuter Series Case - Samsung Galaxy S4,4,12,0,2,18
Bionaire 99.97% HEPA Air Cleaner,4,7,3,2,16
"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",4,4,0,2,10
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,4,2,10,2,18
Shocksock Galaxy S4 Armband,4,1,0,2,7
Akro Stacking Bins,4,0,7,2,13
Deflect-o Glass Clear Studded Chair Mats,3,18,3,2,26
Computer Printout Paper with Letter-Trim Perforations,3,12,7,2,24
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",3,10,5,2,20
GBC Plastic Binding Combs,3,8,17,2,30
"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",3,8,0,2,13
Advantus Map Pennant Flags and Round Head Tacks,3,6,14,2,25
50 Colored Long Pencils,3,6,3,2,14
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",3,6,2,2,13
Advantus Push Pins,3,5,17,2,27
Woodgrain Magazine Files by Perma,3,5,14,2,24
Avery 508,3,5,9,2,19
Sharp 1540cs Digital Laser Copier,3,5,0,2,10
Newell 335,3,4,3,2,12
Wilson Jones data.warehouse D-Ring Binders with DublLock,3,3,4,2,12
Balt Solid Wood Rectangular Table,3,3,3,2,11
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",3,3,0,2,8
Xerox 1921,3,0,2,2,7
Acco Economy Flexible Poly Round Ring Binder,3,0,1,2,6
Riverside Furniture Stanwyck Manor Table Series,3,0,0,2,5
Xerox 1999,2,11,2,2,17
Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,2,10,2,2,16
AT&T SB67148 SynJ,2,0,4,2,8
"Logitech Wireless Boombox Speaker - portable - wireless, wired",2,0,0,2,4
"Adams Telephone Message Books, 5 1/4” x 11”",1,10,2,2,15
Hon Rectangular Conference Tables,1,7,10,2,20
"Barricks 18 x 48"" Non-Folding Utility Table with Bottom Storage Shelf""",1,7,6,2,16
SANFORD Liquid Accent Tank-Style Highlighters,1,2,0,2,5
Avery 487,1,0,22,2,25
"Eldon Image Series Desk Accessories, Ebony",1,0,15,2,18
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",0,18,4,2,24
Hon Olson Stacker Chairs,0,16,4,2,22
Xerox 1928,0,15,9,2,26
Boston 19500 Mighty Mite Electric Pencil Sharpener,0,15,0,2,17
"Seth Thomas 13 1/2 Wall Clock""",0,14,4,2,20
Xerox 219,0,13,0,2,15
Cisco IP Phone 7961G-GE VoIP phone,0,11,2,2,15
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",0,10,10,2,22
Tyvek Side-Opening Peel & Seel Expanding Envelopes,0,8,4,2,14
Lenovo 17-Key USB Numeric Keypad,0,8,3,2,13
Xerox 1880,0,6,10,2,18
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",0,6,2,2,10
GBC Binding covers,0,5,4,2,11
Xerox 1950,0,5,2,2,9
Xerox 202,0,4,22,2,28
Xerox 1946,0,4,7,2,13
"Mini 13-1/2 Capacity Data Binder Rack, Pearl",0,4,6,2,12
Lexmark MarkNet N8150 Wireless Print Server,0,4,0,2,6
Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,0,4,0,2,6
LG Electronics Tone+ HBS-730 Bluetooth Headset,0,3,13,2,18
Xerox 1943,0,3,11,2,16
Apple EarPods with Remote and Mic,0,3,5,2,10
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,0,3,4,2,9
OtterBox Defender Series Case - iPhone 5c,0,3,0,2,5
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",0,3,0,2,5
Anderson Hickey Conga Table Tops & Accessories,0,3,0,2,5
"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",0,2,18,2,22
Micro Innovations USB RF Wireless Keyboard with Mouse,0,2,14,2,18
Cubify CubeX 3D Printer Double Head Print,0,2,5,2,9
Xerox 218,0,2,4,2,8
